17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.EasyPosApplication$$EnhancerBySpringCGLIB$$ab149cfd
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.core.type.classreading.CachingMetadataReaderFactory
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.DatabaseInit
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.dto.EasyDataSecuritySequencer
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.dto.FunctionGenerator
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.dto.MathFunction
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.dto.MNG_USER_DTO
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.dto.ServerResponse
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.GenericController
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.MyAccessDeniedHandler
17:43:33.669 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.rest.contoller.application.ApplicationController
